"﻿ID","Name","Tax status"
"474","Džak - bela majica","taxable"
"502","Džak - ženska majica bela","taxable"
"504","Džak - duks beli","taxable"
"505","Džak - crna majica","taxable"
"506","Džak - ženska majica crna","taxable"
"507","Džak - duks crni","taxable"
"508","Bokserske rukavice - majica bela","taxable"
"509","Bokserske rukavice - ženska majica","taxable"
"510","Bokserske rukavice - duks","taxable"
"511","Bokserske rukavice - crna majica","taxable"
"512","Bokserske rukavice - ženska crna majica","taxable"
"513","Bokserske rukavice - duks crni","taxable"
"520","Borjan - bela majica","taxable"
"521","Borjan - ženska majica bela","taxable"
"522","Borjan - duks beli","taxable"
"524","Borjan - crna majica","taxable"
"527","Borjan - ženska majica crna","taxable"
"528","Borjan - duks crni","taxable"
"536","Igor Rakočević - bela majica","taxable"
"537","Igor Rakočević - ženska majica bela","taxable"
"538","Igor Rakočević - duks beli","taxable"
"539","Igor Rakočević - majica crna","taxable"
"540","Igor Rakočević - ženska majica crna","taxable"
"542","Igor Rakočević - duks crni","taxable"
"549","Naši sportisti - bela majica","taxable"
"550","Naši sportisti - ženska majica bela","taxable"
"551","Naši sportisti - duks beli","taxable"
"552","Naši sportisti - majica crna","taxable"
"553","Naši sportisti - ženska majica crna","taxable"
"554","Naši sportisti - duks crni","taxable"
"561","Naši sportisti (deda priča unuku) - majica bela","taxable"
"562","Naši sportisti (deda priča unuku) - ženska majica bela","taxable"
"563","Naši sportisti (deda priča unuku) - duks beli","taxable"
"564","Naši sportisti (deda priča unuku) - majica crna","taxable"
"565","Naši sportisti (deda priča unuku) - ženska majica crna","taxable"
"566","Naši sportisti (deda priča unuku) - duks crni","taxable"
"573","Vanja Grbić - majica bela","taxable"
"574","Vanja Grbić - ženska majica bela","taxable"
"575","Vanja Grbić - duks beli","taxable"
"576","Vanja Grbić - majica crna","taxable"
"577","Vanja Grbić - ženska majica crna","taxable"
"578","Vanja Grbić - duks crni","taxable"
"585","Vaterpolista - bela majica","taxable"
"586","Vaterpolista - ženska majica bela","taxable"
"587","Vaterpolista - duks beli","taxable"
"588","Vaterpolista - majica crna","taxable"
"589","Vaterpolista-ženska majica crna","taxable"
"590","Vaterpolista-duks crni","taxable"
"597","Arnold Shcwarceneger majica bela","taxable"
"598","Arnold Shcwarceneger-ženska majica bela","taxable"
"599","Arnold Shcwarceneger-duks beli","taxable"
"600","Arnold Shcwarceneger-majica crna","taxable"
"601","Arnold Shcwarceneger-ženska majica crna","taxable"
"602","Arnold Shcwarceneger-duks crni","taxable"
"609","Big Lebowski - majica bela","taxable"
